episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
200165,02/25/2008,2,3,0,10964.63100469475,49,50,6.0,00:00:00,0,,0,50,49,0.05477796320383058,1
200166,02/26/2008,2,3,-9.097530617809602,10955.53347407694,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.054732239611507146,2
200167,02/27/2008,1,4,47.78497068414045,11003.31844476108,49,50,6.0,00:00:00,6.955699413682809,00:15:00,0,50,49,0.05497069169623904,1
200168,02/28/2008,2,5,-13.630558862221243,10989.687885898858,49,50,6.090993826136137,00:05:00,6.363605003380562,00:20:00,0,50,49,0.05490232147945155,2
200169,02/29/2008,1,2,16.158575324332336,11005.846461223191,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.054982771863890965,1
200170,03/01/2008,2,4,-4.544136136095034,11001.302325087096,49,50,6.181950612356192,00:10:00,6.272833335078093,00:15:00,0,50,49,0.054959795799006325,2
200171,03/02/2008,1,3,32.14398497691495,11033.446310064011,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.05512010386151846,1
200172,03/03/2008,2,4,-13.641666753904635,11019.804643310106,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.055051678772805916,2
200173,03/04/2008,2,2,-16.158575324332336,11003.646067985774,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.0549706807011224,1
200174,03/05/2008,2,3,-9.097530617809602,10994.548537367964,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05492495797340296,2
200175,03/06/2008,2,5,-62.914067958935505,10931.634469409028,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.05461038825731998,1
200176,03/07/2008,1,3,4.547839311002733,10936.18230872003,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.05463283464910893,2
200177,03/08/2008,1,3,15.985409652582616,10952.167718372613,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.054712418101842936,1
200178,03/09/2008,2,3,-9.097530617809602,10943.070187754804,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05466669757792966,2
200179,03/10/2008,1,2,16.158575324332336,10959.228763079136,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05474714512051282,1
200180,03/11/2008,2,3,-4.547839311002733,10954.680923768134,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.054724152881247545,2
200181,03/12/2008,1,4,31.626395359808114,10986.307319127942,49,50,6.323171506486647,00:05:00,6.955699413682809,00:15:00,0,50,49,0.05488186850464301,1
200182,03/13/2008,1,2,4.549691306806869,10990.85701043475,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.05490432211904541,2
200183,03/14/2008,1,4,15.640985707225497,11006.497996141974,49,50,6.642879699538299,00:10:00,6.955699413682809,00:15:00,0,50,49,0.054982181284834244,1
200184,03/15/2008,1,5,18.180250169028113,11024.678246311003,49,50,6.0,00:00:00,6.363605003380562,00:20:00,0,50,49,0.055072724325175855,2
200185,03/16/2008,1,3,32.14398497691495,11056.822231287919,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.055233020612373146,1
200186,03/17/2008,1,3,9.097530617809602,11065.919761905729,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.055278190092742395,2
200187,03/18/2008,1,2,16.158575324332336,11082.078337230061,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05535863136582326,1
200188,03/19/2008,1,3,9.097530617809602,11091.17586784787,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05540379976745794,2
200189,03/20/2008,2,5,-62.914067958935505,11028.261799888935,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.05508924965851737,1
200190,03/21/2008,2,9,-36.24216849654083,10992.019631392393,49,50,6.0,00:00:00,6.7248433699308166,00:40:00,0,50,49,0.05490793561812475,2
200191,03/22/2008,1,3,15.985409652582616,11008.005041044977,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.05498751213113964,1
200192,03/23/2008,2,2,-4.549691306806869,11003.45534973817,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.05496451081830527,2
200193,03/24/2008,2,2,-16.158575324332336,10987.296774413837,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05488352127403973,1
200194,03/25/2008,1,5,4.538583415123476,10991.83535782896,49,50,6.272833335078093,00:15:00,6.363605003380562,00:20:00,0,50,49,0.05490591804863763,2
200195,03/26/2008,2,6,-77.36945070106964,10914.465907127891,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.054519173341631366,1
200196,03/27/2008,2,5,-18.180250169028113,10896.285656958862,49,50,6.0,00:00:00,6.363605003380562,00:20:00,0,50,49,0.05442808875781165,2
200197,03/28/2008,1,2,16.158575324332336,10912.444232283195,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.054508530259110746,1
200198,03/29/2008,1,9,18.061918327512714,10930.506150610707,49,50,6.363605003380562,00:20:00,6.7248433699308166,00:40:00,0,50,49,0.054598478259576554,2
200199,03/30/2008,1,2,16.158575324332336,10946.66472593504,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05467891810615957,1
200200,03/31/2008,1,3,4.547839311002733,10951.212565246042,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.054701361464765445,2
200201,04/01/2008,1,7,74.83813836700803,11026.05070361305,49,50,6.323171506486647,00:05:00,7.819934273826807,00:30:00,0,50,49,0.05507490324030874,1
200202,04/02/2008,2,4,-9.091975447097767,11016.958728165951,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.05502921413455386,2
200203,04/03/2008,2,6,-77.36945070106964,10939.589277464882,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.05464248426579463,1
200204,04/04/2008,2,3,-9.097530617809602,10930.491746847072,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05459677002880598,2
200205,04/05/2008,2,4,-47.78497068414045,10882.706776162931,49,50,6.0,00:00:00,6.955699413682809,00:15:00,0,50,49,0.05435781711826843,1
200206,04/06/2008,1,8,31.744230243633442,10914.451006406565,49,50,6.0,00:00:00,6.634884604872669,00:35:00,0,50,49,0.05451610344548398,2
200207,04/07/2008,2,3,-32.14398497691495,10882.30702142965,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.05435527739504438,1
200208,04/08/2008,2,2,-4.549691306806869,10877.757330122842,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.054332281078292785,2
200209,04/09/2008,1,3,15.985409652582616,10893.742739775425,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.054411853312165914,1
200210,04/10/2008,2,4,-13.641666753904635,10880.10107302152,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.054343444748122076,2
200211,04/11/2008,2,2,-16.158575324332336,10863.942497697188,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05426246558729134,1
200212,04/12/2008,2,2,-4.549691306806869,10859.39280639038,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.054239470193546746,2
200213,04/13/2008,1,6,77.36945070106964,10936.76225709145,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.054625634984199076,1
200214,04/14/2008,1,4,13.641666753904635,10950.403923845355,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.05469349757681958,2
200215,04/15/2008,1,3,32.14398497691495,10982.547908822271,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.0548537717394914,1
200216,04/16/2008,1,3,4.547839311002733,10987.095748133273,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.05487621243124063,2
200217,04/17/2008,2,3,-15.985409652582616,10971.11033848069,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.05479609792615357,1
200218,04/18/2008,2,3,-9.097530617809602,10962.01280786288,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05475038611844529,2
200219,04/19/2008,1,2,16.158575324332336,10978.171383187213,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.054830817171133674,1
200220,04/20/2008,1,6,18.16174245896964,10996.333125646182,49,50,6.090993826136137,00:05:00,6.45422867531553,00:25:00,0,50,49,0.05492125225075508,2
200221,04/21/2008,1,2,16.158575324332336,11012.491700970515,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.05500168164663304,1
200222,04/22/2008,2,2,-4.549691306806869,11007.942009663708,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.0549786837094011,2
200223,04/23/2008,1,7,28.082645732404863,11036.024655396113,49,50,7.25828135917871,00:20:00,7.819934273826807,00:30:00,0,50,49,0.05511866596443023,1
200224,04/24/2008,2,2,-4.549691306806869,11031.474964089306,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.055095667672653156,2
200225,04/25/2008,2,3,-32.14398497691495,10999.33097911239,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.05493485318572801,1
200226,04/26/2008,1,3,9.097530617809602,11008.4285097302,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.054980015131552346,2
200227,04/27/2008,2,2,-16.158575324332336,10992.269934405867,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.054899039262466434,1
200228,04/28/2008,1,3,9.097530617809602,11001.367465023677,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.05494420093605129,2
200229,04/29/2008,1,5,62.914067958935505,11064.281532982613,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.05525813709793593,1
200230,04/30/2008,1,4,9.091975447097767,11073.373508429711,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.05530326878304805,2
200231,05/01/2008,2,3,-32.14398497691495,11041.229523452796,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.05514245807818367,1
200232,05/02/2008,1,4,9.091975447097767,11050.321498899893,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.055187589890226804,2
200233,05/03/2008,1,5,46.75549263460317,11097.076991534497,49,50,6.323171506486647,00:05:00,7.25828135917871,00:20:00,0,50,49,0.05542081970271882,1
200234,05/04/2008,1,2,4.549691306806869,11101.626682841305,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.055443264794397075,2
200235,05/05/2008,1,3,32.14398497691495,11133.77066781822,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.05560351920402637,1
200236,05/06/2008,2,2,-4.549691306806869,11129.220976511413,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.055580519869111514,2
