episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
104329,09/15/2015,1,2,4.549691306806869,12571.354814501712,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.12049722334635347,1
104330,09/16/2015,1,4,47.78497068414045,12619.139785185853,49,50,6.0,00:00:00,6.955699413682809,00:15:00,0,50,49,0.12095408593104431,2
104331,09/17/2015,2,2,-4.549691306806869,12614.590093879046,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.12090931836059317,1
104332,09/18/2015,1,6,77.36945070106964,12691.959544580115,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.12164972917781808,2
104333,09/19/2015,2,2,-4.549691306806869,12687.409853273308,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.1216049557980055,1
104334,09/20/2015,1,4,47.78497068414045,12735.194823957449,49,50,6.0,00:00:00,6.955699413682809,00:15:00,0,50,49,0.1220617902501337,2
104335,09/21/2015,2,3,-9.097530617809602,12726.097293339639,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.12197342496132303,1
104336,09/22/2015,2,5,-62.914067958935505,12663.183225380702,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.12136926109282226,2
104337,09/23/2015,2,2,-4.549691306806869,12658.633534073895,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.1213244921175987,1
104338,09/24/2015,1,2,16.158575324332336,12674.792109398228,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.12147819691194223,2
104339,09/25/2015,2,3,-9.097530617809602,12665.694578780418,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.12138984060399675,1
104340,09/26/2015,2,5,-15.129097274795056,12650.565481505622,49,50,6.955699413682809,00:15:00,7.25828135917871,00:20:00,0,50,49,0.12124367914036441,2
104341,09/27/2015,1,2,4.549691306806869,12655.11517281243,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.12128612120654804,1
104342,09/28/2015,1,6,77.36945070106964,12732.4846235135,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.12202645745254546,2
104343,09/29/2015,2,7,-27.233373709945894,12705.251249803554,49,50,6.0,00:00:00,6.544667474198918,00:30:00,0,50,49,0.12176428940900255,1
104344,09/30/2015,1,3,32.14398497691495,12737.39523478047,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.12207118027658964,2
104345,10/01/2015,1,4,13.641666753904635,12751.036901534375,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.12220074657659087,1
104346,10/02/2015,2,3,-32.14398497691495,12718.89291655746,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.12189152355200447,2
104347,10/03/2015,2,2,-4.549691306806869,12714.343225250652,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.12184675386212016,1
104348,10/04/2015,2,5,-62.914067958935505,12651.429157291715,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.1212426606862778,2
