episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
95456,05/29/2009,2,4,-9.091975447097767,13627.560016987372,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.14276273903146341,2
95457,05/30/2009,1,3,32.14398497691495,13659.704001964288,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.14309798131058266,1
95458,05/31/2009,2,3,-4.547839311002733,13655.156162653286,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.14304883993644624,2
95459,06/01/2009,2,2,-16.158575324332336,13638.997587328953,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.14287806898594113,1
95460,06/02/2009,1,4,9.091975447097767,13648.089562776051,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.14297181607768752,2
95461,06/03/2009,1,5,62.914067958935505,13711.003630734987,49,50,6.0,00:00:00,7.25828135917871,00:20:00,0,50,49,0.14362937357386774,1
95462,06/04/2009,2,2,-4.549691306806869,13706.45393942818,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.1435802092919505,2
95463,06/05/2009,1,4,31.626395359808114,13738.080334787988,49,50,6.323171506486647,00:05:00,6.955699413682809,00:15:00,0,50,49,0.14391000005015545,1
95464,06/06/2009,2,3,-9.097530617809602,13728.982804170178,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.143813194546323,2
95465,06/07/2009,2,6,-77.36945070106964,13651.613353469109,49,50,6.0,00:00:00,7.547389014021393,00:25:00,0,50,49,0.1430012397577029,1
95466,06/08/2009,1,3,9.097530617809602,13660.710884086919,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.14309503785732008,2
95467,06/09/2009,2,2,-16.158575324332336,13644.552308762586,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.14292428073326474,1
95468,06/10/2009,2,3,-4.547839311002733,13640.004469451584,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.14287514632601064,2
95469,06/11/2009,2,7,-74.83813836700803,13565.166331084576,49,50,6.323171506486647,00:05:00,7.819934273826807,00:30:00,0,50,49,0.1420897498778093,1
95470,06/12/2009,1,2,4.549691306806869,13569.716022391383,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.14213591727654115,2
95471,06/13/2009,2,3,-32.14398497691495,13537.572037414468,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.14179774001963388,1
95472,06/14/2009,1,4,13.641666753904635,13551.213704168373,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.1419391413625814,2
95473,06/15/2009,2,2,-16.158575324332336,13535.05512884404,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.14176840707680746,1
95474,06/16/2009,2,5,-9.08271955121851,13525.97240929282,49,50,6.181950612356192,00:10:00,6.363605003380562,00:20:00,0,50,49,0.1416717892755391,2
95475,06/17/2009,2,5,-30.770082982020554,13495.2023263108,49,50,6.642879699538299,00:10:00,7.25828135917871,00:20:00,0,50,49,0.14134802122347,1
95476,06/18/2009,1,2,4.549691306806869,13499.752017617608,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.14139419348964774,2
95477,06/19/2009,2,6,-61.210875376737306,13438.54114224087,49,50,6.323171506486647,00:05:00,7.547389014021393,00:25:00,0,50,49,0.14075160658840213,1
95478,06/20/2009,2,4,-4.544136136095034,13433.997006104775,49,50,6.181950612356192,00:10:00,6.272833335078093,00:15:00,0,50,49,0.1407025388686899,2
95479,06/21/2009,2,4,-15.640985707225497,13418.35602039755,49,50,6.642879699538299,00:10:00,6.955699413682809,00:15:00,0,50,49,0.14053724924221608,1
95480,06/22/2009,1,3,9.097530617809602,13427.45355101536,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.1406310593947985,2
95481,06/23/2009,1,3,15.985409652582616,13443.438960667943,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.14079700632238815,1
95482,06/24/2009,2,4,-13.641666753904635,13429.797293914038,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.14065266012352107,2
95483,06/25/2009,2,8,-103.65057334568553,13326.146720568353,49,50,6.0,00:00:00,8.07301146691371,00:35:00,0,50,49,0.1395656475034127,1
95484,06/26/2009,1,3,4.547839311002733,13330.694559879355,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.13961181517195922,2
95485,06/27/2009,1,3,15.985409652582616,13346.679969531939,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.1397777658221913,1
95486,06/28/2009,1,13,35.88800743063341,13382.567976962571,49,50,6.363605003380562,00:20:00,7.08136515199323,01:00:00,0,50,49,0.1401521477175981,2
95487,06/29/2009,2,2,-16.158575324332336,13366.409401638239,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.13998145717886454,1
95488,06/30/2009,2,4,-13.641666753904635,13352.767734884334,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.13983712859086309,2
95489,07/01/2009,2,3,-15.985409652582616,13336.78232523175,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.13966825838820965,1
95490,07/02/2009,1,4,13.641666753904635,13350.423991985655,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.13980965537737622,2
95491,07/03/2009,1,2,16.158575324332336,13366.582567309988,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.13997740695259225,1
95492,07/04/2009,1,3,4.547839311002733,13371.13040662099,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.14002356644138766,2
95493,07/05/2009,1,3,15.985409652582616,13387.115816273574,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.1401894988771279,1
95494,07/06/2009,1,3,4.547839311002733,13391.663655584576,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.1402356551781743,2
95495,07/07/2009,1,3,32.14398497691495,13423.807640561492,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.1405707905184721,1
95496,07/08/2009,2,3,-4.547839311002733,13419.25980125049,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.14052169516262975,2
