episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
364080,01/11/2007,1,7,74.83813836700803,22563.611829049994,49,50,6.323171506486647,00:05:00,7.819934273826807,00:30:00,0,50,49,0.06197432385478465,2
364081,01/12/2007,1,2,4.549691306806869,22568.1615203568,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.06198665000468797,1
364082,01/13/2007,1,3,15.985409652582616,22584.14693000938,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.06203038581970375,2
364083,01/14/2007,2,5,-9.08271955121851,22575.064210458164,49,50,6.181950612356192,00:10:00,6.363605003380562,00:20:00,0,50,49,0.06200526860759267,1
364084,01/15/2007,2,2,-16.158575324332336,22558.905635133833,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.06196071685417056,2
364085,01/16/2007,2,3,-9.097530617809602,22549.808104516025,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.061935559291143624,1
364086,01/17/2007,2,3,-32.14398497691495,22517.66411953911,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.06184710238663148,2
364087,01/18/2007,1,2,4.549691306806869,22522.213810845915,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.06185942868283107,1
364088,01/19/2007,1,11,134.48848383910254,22656.702294685016,49,50,6.0,00:00:00,8.689769676782051,00:50:00,0,50,49,0.062228643335361274,2
364089,01/20/2007,1,5,18.180250169028113,22674.882544854045,49,50,6.0,00:00:00,6.363605003380562,00:20:00,0,50,49,0.0622784059525392,1
364090,01/21/2007,2,2,-16.158575324332336,22658.723969529714,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.06223385418311328,2
364091,01/22/2007,2,2,-4.549691306806869,22654.17427822291,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.062221187225783965,1
364092,01/23/2007,1,3,15.985409652582616,22670.15968787549,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.06226492119539976,2
