episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
204593,04/12/2002,2,4,-13.641666753904635,10132.475331127142,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.04952503424421726,1
204594,04/13/2002,1,6,29.58448001692919,10162.05981114407,49,50,6.955699413682809,00:15:00,7.547389014021393,00:25:00,0,50,49,0.04966939309629838,2
204595,04/14/2002,1,2,4.549691306806869,10166.609502450878,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.04969138787580771,1
204596,04/15/2002,2,2,-16.158575324332336,10150.450927126545,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.049612167037119716,2
204597,04/16/2002,2,3,-9.097530617809602,10141.353396508735,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.04956745893883457,1
204598,04/17/2002,1,2,16.158575324332336,10157.511971833068,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.04964619386227171,2
204599,04/18/2002,1,10,27.083692541217495,10184.595664374285,49,50,6.272833335078093,00:15:00,6.814507185902443,00:45:00,0,50,49,0.049778325721896416,1
204600,04/19/2002,1,3,32.14398497691495,10216.7396493512,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.04993518890200978,2
204601,04/20/2002,2,2,-4.549691306806869,10212.189958044393,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.049912707943970916,1
204602,04/21/2002,2,3,-15.985409652582616,10196.20454839181,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.049834334700500534,2
204603,04/22/2002,2,2,-4.549691306806869,10191.654857085003,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.04981185445513997,1
204604,04/23/2002,2,3,-15.985409652582616,10175.66944743242,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.04973348247068689,2
204605,04/24/2002,1,7,13.59170695604126,10189.261154388461,49,50,6.272833335078093,00:15:00,6.544667474198918,00:30:00,0,50,49,0.04979966840687403,1
204606,04/25/2002,2,3,-32.14398497691495,10157.117169411546,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.04964232314502774,2
204607,04/26/2002,1,3,4.547839311002733,10161.665008722548,49,50,6.090993826136137,00:05:00,6.181950612356192,00:10:00,0,50,49,0.04966430771538876,1
204608,04/27/2002,2,4,-31.626395359808114,10130.03861336274,49,50,6.323171506486647,00:05:00,6.955699413682809,00:15:00,0,50,49,0.049509494317733126,2
